X1,x2,City,lat,long
ACACIA ROUTE,Indangan,Davao City,7.1796492,125.6390496
ACACIA ROUTE,Cabantian,Davao City,7.1421709,125.6001897
ACACIA ROUTE,Buhangin Underpass ,Davao City,7.1086829,125.6133336
ACACIA ROUTE,Buhangin Road,Davao City,7.13343,125.5889693
ACACIA ROUTE,J.P. Laurel Ave.,Davao City,,
ACACIA ROUTE,R. Magsaysay Ave,Davao City,7.0743112,125.6245835
ACACIA ROUTE,C. Bangoy St.,Davao City,7.0716876,125.610447
ACACIA ROUTE,San Pedro St.,Davao City,7.1225126,125.6335156
ACACIA ROUTE,San Pedro Extension,Davao City,7.062644,125.6113826
ACACIA ROUTE,Fr. Selga St.,Davao City,7.0719654,125.600519
ACACIA ROUTE,F. Torres St,Davao City,7.0766229,125.6045798
ACACIA ROUTE,J.P. Laurel Ave.,Davao City,7.102463,125.6370206
ACACIA ROUTE,Acacia,Davao City,7.3846788,125.3607658
ALAMBRE ROUTE,Toril,Davao City,7.1130668,125.4327549
ALAMBRE ROUTE,Puan,Davao City,7.0633314,125.5449356
ALAMBRE ROUTE,Ulas,Davao City,7.0555322,125.5440384
ALAMBRE ROUTE,Bangkal,Davao City,7.0917795,125.6060769
ALAMBRE ROUTE,MacArthur Highway ,Davao City,7.0290434,125.5093649
ALAMBRE ROUTE,Matina,Davao City,7.0460109,125.5677279
ALAMBRE ROUTE,Generoso Bridge ,Davao City,,
ALAMBRE ROUTE,Quirino Ave.,Davao City,7.0754224,125.6112277
ALAMBRE ROUTE,Camus St.,Davao City,7.0711865,125.6076269
ALAMBRE ROUTE,Bonifacio St.,Davao City,7.0200998,125.4996703
ALAMBRE ROUTE,C.M. Recto Ave.,Davao City,,
ALAMBRE ROUTE,Claveria,Davao City,7.0638756,125.6097969
ALAMBRE ROUTE,Roxas Ave.,Davao City,7.0723663,125.6120756
ALAMBRE ROUTE,Quezon Blvd.,Davao City,7.0738852,125.6245172
ALAMBRE ROUTE,Bolton Bridge ,Davao City,7.05800475,125.6048496
ALAMBRE ROUTE,Quimpo Blvd.,Davao City,7.0557945,125.5777988
ALAMBRE ROUTE,MacArthur Highway ,Davao City,7.0290434,125.5093649
ALAMBRE ROUTE,Matina,Davao City,7.0460109,125.5677279
ALAMBRE ROUTE,Bangkal,Davao City,,
ALAMBRE ROUTE,Ulas,Davao City,7.0555322,125.5440384
ALAMBRE ROUTE,Puan,Davao City,7.0633314,125.5449356
ALAMBRE ROUTE,Toril,Davao City,7.1130668,125.4327549
ALAMBRE ROUTE,Alambre,Davao City,7.0355708,125.4937899
BAGO APLAYA ROUTE,Puan,Davao City,7.0633314,125.5449356
BAGO APLAYA ROUTE,Ulas,Davao City,7.0555322,125.5440384
BAGO APLAYA ROUTE,Bangkal,Davao City,7.0917795,125.6060769
BAGO APLAYA ROUTE,MacArthur Highway ,Davao City,7.0290434,125.5093649
BAGO APLAYA ROUTE,Matina,Davao City,7.0460109,125.5677279
BAGO APLAYA ROUTE,Quimpo Blvd.,Davao City,7.0557945,125.5777988
BAGO APLAYA ROUTE,Bolton Bridge ,Davao City,,
BAGO APLAYA ROUTE,Quezon Blvd.,Davao City,7.0738852,125.6245172
BAGO APLAYA ROUTE,Roxas Ave.,Davao City,7.0723663,125.6120756
BAGO APLAYA ROUTE,C. Bangoy St.,Davao City,7.0716876,125.610447
BAGO APLAYA ROUTE,Rizal St.,Davao City,7.1158774,125.6457987
BAGO APLAYA ROUTE,Bolton St.,Davao City,7.0671296,125.6098762
